protein_id,study,class,cluster30,split_group
8pzh_A,A,other_transition,39239,39239
2qjc_A,A,other_transition,34936,34936
5lg8_A,A,other_transition,8958,8958
5ntd_A,A,other_transition,13005,13005
4mu3_A,A,other_transition,11051,11051
6kgv_A,A,other_transition,14011,14011
3ovp_A,A,other_transition,3043,3043
3r4q_A,A,other_transition,182646,182646
2zzi_A,A,other_transition,8518,8518
8a82_A,A,other_transition,227044,227044
6b9r_A,A,other_transition,47257,47257
4eac_C,A,other_transition,1555,1555
8c6z_A,A,other_transition,75116,75116
1nzr_A,A,other_transition,1283,1283
6lkb_A,A,other_transition,20241,20241
6ei2_B,A,other_transition,23,23
4udx_X,A,other_transition,1716,1716
5zo5_B,A,other_transition,8010,8010
5n5e_a,A,other_transition,68344,68344
3sxx_A,A,other_transition,4902,4902
7pda_A,A,other_transition,137138,137138
3ut1_A,A,other_transition,5359,5359
9dbh_B,A,other_transition,58554,58554
8pzm_A,A,other_transition,685,685
3ea3_A,A,other_transition,6954,6954
6vk6_A,A,other_transition,4167,4167
8q1k_A,A,other_transition,6529,6529
7dz9_A,A,other_transition,25316,25316
7e9s_A,A,other_transition,38652,38652
3pzt_A,A,other_transition,5866,5866
6on1_A,A,other_transition,67573,67573
8qaw_A,A,other_transition,1913,1913
2am3_A,A,other_transition,7461,7461
2amh_A,A,other_transition,52006,52006
2noo_A,A,other_transition,4886,4886
7w5p_H,A,other_transition,66177,66177
2ibn_A,A,other_transition,7089,7089
4wyl_A,A,other_transition,413,413
1vkm_A,A,other_transition,2444,2444
8xhx_A,A,other_transition,37390,37390
3ngf_A,A,other_transition,7274,7274
3pka_A,A,other_transition,1935,1935
5ep9_A,A,other_transition,47419,47419
2rdq_A,A,other_transition,30225,30225
3llm_A,A,other_transition,4621,4621
1lby_A,A,other_transition,9914,9914
2yeq_A,A,other_transition,31920,31920
2bdg_A,A,other_transition,2748,2748
7t7k_A,A,other_transition,10993,10993
3a62_A,A,other_transition,5218,5218
4oev_A,A,other_transition,29368,29368
1y56_A,A,other_transition,202556,202556
2zad_A,A,other_transition,16029,16029
4e19_A,A,other_transition,67636,67636
5v8c_A,A,other_transition,257060,257060
7eeh_A,A,other_transition,92047,92047
3PIW_1,A,non_metal,61606,61606
3U2A_1,A,non_metal,206087,206087
5A5K_1,A,non_metal,7920,7920
2VAG_1,A,non_metal,4849,4849
2YZ8_1,A,non_metal,24041,24041
4DN9_1,A,non_metal,244338,244338
2RHF_1,A,non_metal,24779,24779
8BXA_1,A,non_metal,519,519
9PFN_1,A,non_metal,23055,23055
3BT7_1,A,non_metal,1076,1076
3M8U_1,A,non_metal,5292,5292
6RUT_2,A,non_metal,8766,8766
4O1I_1,A,non_metal,206435,206435
2YXZ_1,A,non_metal,134006,134006
8BHG_1,A,non_metal,1197,1197
4YXT_1,A,non_metal,22723,22723
6OEB_1,A,non_metal,13657,13657
3I1I_1,A,non_metal,966,966
7X2P_1,A,non_metal,164204,164204
7KV4_1,A,non_metal,47954,47954
3HEF_1,A,non_metal,29108,29108
3KYZ_1,A,non_metal,68883,68883
4PZA_1,A,non_metal,21649,21649
4P6Q_1,A,non_metal,38133,38133
1VHV_1,A,non_metal,1479,1479
3I8Z_1,A,non_metal,29825,29825
7BYW_1,A,non_metal,67267,67267
5T1J_1,A,non_metal,37802,37802
1LLI_3,A,non_metal,8379,8379
6F8P_1,A,non_metal,8346,8346
3SB1_1,A,non_metal,265820,265820
3K5W_1,A,non_metal,51352,51352
6VUD_1,A,non_metal,6775,6775
1OD2_1,A,non_metal,1874,1874
7MS2_1,A,non_metal,4919,4919
1JCM_1,A,non_metal,1766,1766
1QSF_4,A,non_metal,280,280
7EBO_1,A,non_metal,8102,8102
1DJ0_1,A,non_metal,297,297
4R3E_1,A,non_metal,9432,9432
1ZC0_1,A,non_metal,12599,12599
2HQB_1,A,non_metal,96745,96745
3RPP_1,A,non_metal,10201,10201
5HKF_1,A,non_metal,4589,4589
3R1V_1,A,non_metal,8690,8690
3AYH_1,A,non_metal,33230,33230
3BO6_1,A,non_metal,10171,10171
1C3C_1,A,non_metal,5048,5048
24KM_1,A,non_metal,165,165
1FTR_1,A,non_metal,9165,9165
4ZR7_1,A,non_metal,16478,16478
8F9R_1,A,non_metal,12811,12811
3HE1_1,A,non_metal,20927,20927
2WJQ_1,A,non_metal,36322,36322
4BZY_1,A,non_metal,4206,4206
3ZZO_1,A,non_metal,39888,39888
1A0P_1,A,non_metal,627,627
4TVI_1,A,non_metal,72112,72112
4Q2S_1,A,non_metal,102114,102114
1HYE_1,A,non_metal,5205,5205
5QGJ_1,A,non_metal,5161,5161
5NN7_1,A,non_metal,2834,2834
4LWS_1,A,non_metal,81879,81879
2ILA_1,A,non_metal,10530,10530
3N4H_1,A,non_metal,5584,5584
8VM1_1,A,non_metal,99979,99979
9HDH_1,A,non_metal,25339,25339
8P9R_1,A,non_metal,6265,6265
6TQS_1,A,non_metal,14058,14058
6H02_1,A,non_metal,7982,7982
6Q26_1,A,non_metal,46460,46460
2IZP_1,A,non_metal,16993,16993
4YK8_1,A,non_metal,73658,73658
5FUC_1,A,non_metal,4897,4897
7XVK_2,A,non_metal,12936,12936
5FIF_1,A,non_metal,28863,28863
6WLF_1,A,non_metal,48204,48204
1E1L_1,A,non_metal,9995,9995
1B35_1,A,non_metal,265748,265748
2Z8W_1,A,non_metal,4377,4377
1OXJ_1,A,non_metal,28828,28828
1U9N_1,A,non_metal,2260,2260
3WAI_1,A,non_metal,261002,261002
5YCQ_1,A,non_metal,3253,3253
7YF2_1,A,non_metal,3448,3448
1G8E_1,A,non_metal,2932,2932
6UCC_2,A,non_metal,15114,15114
3O24_1,A,non_metal,4708,4708
4QQB_3,A,non_metal,12514,12514
3H3D_1,A,non_metal,42097,42097
2BND_1,A,non_metal,586,586
3WBI_1,A,non_metal,39723,39723
3QTM_1,A,non_metal,53872,53872
2FGG_1,A,non_metal,24048,24048
8IOX_1,A,non_metal,1697,1697
5Z1G_1,A,non_metal,8882,8882
4ZOQ_1,A,non_metal,211382,211382
6VME_4,A,non_metal,12157,12157
5MU3_1,A,non_metal,64618,64618
2R0B_1,A,non_metal,24170,24170
1W1O_1,A,non_metal,1957,1957
4MNN_1,A,non_metal,226180,226180
9U46_1,A,non_metal,10225,10225
9KZN_1,A,non_metal,16729,16729
3NY7_1,A,non_metal,33411,33411
5Y7Q_1,A,non_metal,35580,35580
4MJH_1,A,non_metal,11252,11252
1UCA_1,A,non_metal,15887,15887
2DWZ_2,A,non_metal,11944,11944
2D1P_2,A,non_metal,2884,2884
4PZG_1,A,non_metal,34516,34516
3HNO_1,A,non_metal,27345,27345
3VEP_2,A,non_metal,20808,20808
1F8G_1,A,non_metal,2190,2190
5F86_1,A,non_metal,8928,8928
9Q9E_1,A,non_metal,50105,50105
4G94_1,A,non_metal,20070,20070
9QUF_1,A,non_metal,123598,123598
7L71_1,A,non_metal,14149,14149
3LQK_1,A,non_metal,63489,63489
3ROS_1,A,non_metal,5315,5315
6GBA_1,A,non_metal,30000,30000
5VYK_1,A,non_metal,35185,35185
2IA9_1,A,non_metal,3654,3654
7XLJ_1,A,non_metal,51719,51719
6K34_1,A,non_metal,25642,25642
5OOO_1,A,non_metal,76495,76495
3C5Y_1,A,non_metal,26168,26168
4M0M_1,A,non_metal,108630,108630
1BIK_1,A,non_metal,13229,13229
4WER_1,A,non_metal,3794,3794
2B71_1,A,non_metal,22894,22894
4F7U_3,A,non_metal,1537,1537
1VC1_1,A,non_metal,25103,25103
9LI3_1,A,non_metal,3004,3004
5T51_1,A,non_metal,21128,21128
2AXO_1,A,non_metal,98915,98915
2QGX_1,A,non_metal,9488,9488
6H0H_1,A,non_metal,84145,84145
1BJN_1,A,non_metal,567,567
9EPU_1,A,non_metal,15616,15616
1A0A_3,A,non_metal,52745,52745
9QHR_1,A,non_metal,83168,83168
4NN5_1,A,non_metal,19896,19896
2YZS_1,A,non_metal,13143,13143
4FUQ_1,A,non_metal,13381,13381
3I42_1,A,non_metal,92932,92932
1JH6_1,A,non_metal,22244,22244
6XGZ_1,A,non_metal,6616,6616
6JF2_1,A,non_metal,5519,5519
1IPB_1,A,non_metal,1443,1443
5BPZ_1,A,non_metal,8223,8223
2YNZ_1,A,non_metal,90826,90826
1K6J_1,A,non_metal,13844,13844
3S2U_1,A,non_metal,591,591
3HQA_1,A,non_metal,3721,3721
1UIX_1,A,non_metal,2690,2690
1FBM_1,A,non_metal,8417,8417
1IC4_1,A,non_metal,3610,3610
2NT2_1,A,non_metal,26935,26935
3V2X_1,A,non_metal,17226,17226
4U7A_1,A,non_metal,5167,5167
3TQH_1,A,non_metal,4327,4327
1VJN_1,A,non_metal,195802,195802
1VOL_3,A,non_metal,64,64
1VHK_1,A,non_metal,48212,48212
3A42_1,A,non_metal,35400,35400
4XVX_1,A,non_metal,34401,34401
3DTF_1,A,non_metal,3837,3837
4C86_1,A,non_metal,7184,7184
5WBS_1,A,non_metal,28216,28216
6MZO_1,A,non_metal,25892,25892
3G89_1,A,non_metal,856,856
3OAO_1,A,non_metal,69755,69755
4KIK_1,A,non_metal,8418,8418
2NYK_1,A,non_metal,85905,85905
4WFW_1,A,non_metal,73946,73946
1I09_1,A,non_metal,1594,1594
4RAX_1,A,non_metal,44687,44687
4C1S_1,A,non_metal,64546,64546
2YRR_1,A,non_metal,2499,2499
4ETR_1,A,non_metal,90046,90046
3FRU_1,A,non_metal,5455,5455
3G5J_1,A,non_metal,93642,93642
7JV7_1,A,non_metal,26501,26501
2FHQ_1,A,non_metal,247192,247192
8K0J_1,A,non_metal,3237,3237
4YEP_1,A,non_metal,28823,28823
3AFC_1,A,non_metal,13733,13733
3ES1_1,A,non_metal,6154,6154
1V2Z_1,A,non_metal,11096,11096
2X57_1,A,non_metal,166514,166514
3ABF_1,A,non_metal,11711,11711
6G3W_2,A,non_metal,5489,5489
4AUK_1,A,non_metal,1155,1155
1I8L_1,A,non_metal,19390,19390
2IAY_1,A,non_metal,93191,93191
1QQF_1,A,non_metal,1313,1313
4PSM_1,A,non_metal,80445,80445
1U9C_1,A,non_metal,19585,19585
3BKX_1,A,non_metal,206918,206918
4HUD_1,A,non_metal,29480,29480
3WSX_1,A,non_metal,17358,17358
7PCR_1,A,non_metal,31420,31420
4AE7_1,A,non_metal,16995,16995
6A9P_1,A,non_metal,3699,3699
2AM1_1,A,non_metal,35885,35885
1XG2_1,A,non_metal,4142,4142
4OW8_1,A,non_metal,14230,14230
3V53_1,A,non_metal,27265,27265
3BID_1,A,non_metal,16461,16461
1VI0_1,A,non_metal,28653,28653
2YJT_2,A,non_metal,27085,27085
5T8V_1,A,non_metal,30207,30207
2OHC_1,A,non_metal,40114,40114
1G0Y_1,A,non_metal,15658,15658
3U9E_1,A,non_metal,47786,47786
2HRK_2,A,non_metal,16052,16052
8DLD_1,A,non_metal,15691,15691
9INC_3,A,non_metal,90690,90690
8W4C_1,A,non_metal,4760,4760
6ONW_1,A,non_metal,182946,182946
6TLH_1,A,non_metal,42130,42130
1QD1_1,A,non_metal,11968,11968
9SNI_1,A,non_metal,8506,8506
4F9K_1,A,non_metal,126446,126446
2FNE_1,A,non_metal,3959,3959
3K5Y_1,A,non_metal,6387,6387
2F1T_1,A,non_metal,14428,14428
7R50_1,A,non_metal,9100,9100
3UQZ_1,A,non_metal,42230,42230
3DXR_1,A,non_metal,8279,8279
7NJC_1,A,non_metal,52057,52057
4IX7_2,A,non_metal,96510,96510
1U84_1,A,non_metal,69576,69576
3NEK_1,A,non_metal,36862,36862
4MUD_1,A,non_metal,115213,115213
5NGK_1,A,non_metal,30596,30596
6EVS_1,A,non_metal,144438,144438
6MTG_1,A,non_metal,890,890
6C56_1,A,non_metal,5862,5862
4PMH_1,A,non_metal,46963,46963
3CEY_1,A,non_metal,18306,18306
8YQ1_1,A,non_metal,24217,24217
2A1V_1,A,non_metal,34852,34852
4ZPU_1,A,non_metal,51699,51699
5YX6_1,A,non_metal,4180,4180
1E3O_3,A,non_metal,29635,29635
3S84_1,A,non_metal,13494,13494
5IB0_1,A,non_metal,54588,54588
1OUV_1,A,non_metal,19106,19106
6P3Q_1,A,non_metal,16324,16324
1V9K_1,A,non_metal,5586,5586
8RGI_1,A,non_metal,6800,6800
8X0A_1,A,non_metal,50109,50109
8JW3_1,A,non_metal,163072,163072
1Y2I_1,A,non_metal,3705,3705
8JCT_1,A,non_metal,19551,19551
9CC5_2,A,non_metal,2583,2583
3L7J_1,A,non_metal,31041,31041
2WUJ_1,A,non_metal,39153,39153
1GPR_1,A,non_metal,2854,2854
4WX8_1,A,non_metal,24616,24616
6W49_1,A,non_metal,5075,5075
1SHS_1,A,non_metal,15188,15188
5A6R_1,A,non_metal,36209,36209
4XA9_1,A,non_metal,162506,162506
2O1M_1,A,non_metal,49800,49800
1XFJ_1,A,non_metal,20811,20811
2J9L_1,A,non_metal,3329,3329
6WHB_1,A,non_metal,23780,23780
8XUL_1,A,non_metal,252071,252071
3STQ_1,A,non_metal,110959,110959
2D07_1,A,non_metal,8655,8655
3CRA_1,A,non_metal,18601,18601
9NIJ_1,A,non_metal,46068,46068
3G3Z_1,A,non_metal,98206,98206
1W3P_1,A,non_metal,27887,27887
5XXR_1,A,non_metal,46888,46888
3W2A_1,A,non_metal,17781,17781
3R8K_1,A,non_metal,19374,19374
1HF2_1,A,non_metal,4104,4104
2P4G_1,A,non_metal,148923,148923
5DOL_1,A,non_metal,2443,2443
6SN1_1,A,non_metal,7349,7349
5CAJ_1,A,non_metal,661,661
1EQC_1,A,non_metal,4925,4925
5AOO_2,A,non_metal,70213,70213
7R6S_1,A,non_metal,26956,26956
3ZY5_1,A,non_metal,6538,6538
5MRJ_1,A,non_metal,1929,1929
4LDA_1,A,non_metal,94907,94907
1QO2_1,A,non_metal,182,182
1SYR_1,A,non_metal,11935,11935
2W9Y_1,A,non_metal,100238,100238
1T7S_1,A,non_metal,29920,29920
2HPG_1,A,non_metal,10065,10065
5DVY_1,A,non_metal,3753,3753
1PUI_1,A,non_metal,1178,1178
3MEA_1,A,non_metal,12610,12610
1DV7_1,A,non_metal,1504,1504
1CR5_1,A,non_metal,62463,62463
9XWV_1,A,non_metal,4451,4451
2F60_1,A,non_metal,67459,67459
5D5H_1,A,non_metal,10080,10080
5AKO_2,A,non_metal,87605,87605
3EXZ_1,A,non_metal,92379,92379
4ZB3_1,A,non_metal,6841,6841
9DUC_1,A,non_metal,1268,1268
2ONF_1,A,non_metal,108690,108690
5XLY_2,A,non_metal,40176,40176
3EWK_1,A,non_metal,53521,53521
5ES1_1,A,non_metal,26118,26118
4AEZ_1,A,non_metal,5226,5226
1T9F_1,A,non_metal,7641,7641
6Q3V_1,A,non_metal,17743,17743
6DJ8_1,A,non_metal,99414,99414
5TD6_1,A,non_metal,80741,80741
4IC4_1,A,non_metal,30287,30287
1PNO_1,A,non_metal,11659,11659
6AT7_1,A,non_metal,1591,1591
4XPU_1,A,non_metal,3728,3728
3S4M_1,A,non_metal,7256,7256
8ZYS_1,A,non_metal,53638,53638
7BVV_1,A,non_metal,17504,17504
4RL1_1,A,non_metal,6976,6976
5H8A_1,A,non_metal,18945,18945
6SBS_1,A,non_metal,247914,247914
5K79_1,A,non_metal,7505,7505
3R6G_1,A,non_metal,25732,25732
1EXB_2,A,non_metal,94422,94422
4K6J_1,A,non_metal,25146,25146
2D4G_1,A,non_metal,4926,4926
4RFQ_1,A,non_metal,36286,36286
5HZ2_1,A,non_metal,12460,12460
1PAQ_1,A,non_metal,2755,2755
6U83_1,A,non_metal,225317,225317
1YOZ_1,A,non_metal,87390,87390
3ANW_2,A,non_metal,264117,264117
9XKT_1,A,non_metal,27396,27396
1B7G_1,A,non_metal,3756,3756
1ZUP_1,A,non_metal,140200,140200
6KBM_1,A,non_metal,7633,7633
1U5G_1,A,non_metal,10076,10076
3ISY_1,A,non_metal,76431,76431
3NHM_1,A,non_metal,35327,35327
4DCZ_1,A,non_metal,59669,59669
4PGO_1,A,non_metal,66695,66695
5NV4_1,A,non_metal,7881,7881
1YAT_1,A,non_metal,3957,3957
3FVE_1,A,non_metal,6096,6096
5YET_1,A,non_metal,102037,102037
1O80_1,A,non_metal,11400,11400
5Z6Z_1,A,non_metal,9405,9405
3P8R_1,A,non_metal,6837,6837
3FAC_1,A,non_metal,58073,58073
3WE9_1,A,non_metal,86078,86078
2A0J_1,A,non_metal,7257,7257
1AWC_3,A,non_metal,26901,26901
1PZ4_1,A,non_metal,59422,59422
6ST0_1,A,non_metal,21781,21781
1LL7_1,A,non_metal,6746,6746
29VJ_1,A,non_metal,2589,2589
7R5A_1,A,non_metal,73402,73402
3C3K_1,A,non_metal,102142,102142
2CWZ_1,A,non_metal,12535,12535
3T5S_1,A,non_metal,110362,110362
7CBD_1,A,non_metal,19190,19190
2A5S_1,A,non_metal,2749,2749
3C49_1,A,non_metal,9689,9689
4CBJ_1,A,non_metal,167031,167031
1MIJ_1,A,non_metal,44416,44416
1C02_1,A,non_metal,19184,19184
5QU4_1,A,non_metal,17080,17080
1WRU_1,A,non_metal,69051,69051
7WA9_1,A,non_metal,20381,20381
8DAZ_1,A,non_metal,23103,23103
4W4R_1,A,non_metal,33275,33275
3M4U_1,A,non_metal,43443,43443
3ONQ_1,A,non_metal,212441,212441
6CW0_1,A,non_metal,73021,73021
2EWR_1,A,non_metal,69181,69181
1YK3_1,A,non_metal,35106,35106
8D58_2,A,non_metal,14000,14000
3PZ7_1,A,non_metal,29851,29851
3AFL_1,A,non_metal,80892,80892
2R9Y_1,A,non_metal,30779,30779
5YRZ_2,A,non_metal,94305,94305
7LJP_1,A,non_metal,559,559
5VE8_1,A,non_metal,32160,32160
1EFV_2,A,non_metal,3118,3118
2C9O_1,A,non_metal,973,973
8S6L_1,A,non_metal,67880,67880
2WD5_1,A,non_metal,4769,4769
9NXM_1,A,non_metal,22250,22250
1VKC_1,A,non_metal,188867,188867
3V8X_1,A,non_metal,11705,11705
1IPK_1,A,non_metal,4904,4904
7W2Q_1,A,non_metal,25815,25815
5M6Q_1,A,non_metal,268095,268095
5CB3_1,A,non_metal,9492,9492
3PR8_1,A,non_metal,25801,25801
6N85_1,A,non_metal,7194,7194
3V8U_1,A,non_metal,11684,11684
3FNJ_1,A,non_metal,62823,62823
2DPS_1,A,non_metal,940,940
4NN3_1,A,non_metal,6988,6988
5XRW_2,A,non_metal,63864,63864
3AX2_1,A,non_metal,1978,1978
5F1S_1,A,non_metal,94368,94368
3O7O_1,A,non_metal,11823,11823
4YNZ_1,A,non_metal,13020,13020
3WYZ_1,A,non_metal,22431,22431
3CXG_1,A,non_metal,87274,87274
6MGN_1,A,non_metal,6302,6302
1VQW_1,A,non_metal,17102,17102
8I80_1,A,non_metal,15528,15528
6TGS_1,A,non_metal,21392,21392
6J6A_1,A,non_metal,152838,152838
4A9A_1,A,non_metal,10344,10344
5NR1_1,A,non_metal,34304,34304
9QBX_1,A,non_metal,76475,76475
9J0U_1,A,non_metal,95493,95493
4FQN_1,A,non_metal,13691,13691
8J2N_1,A,non_metal,18568,18568
6EHI_1,A,non_metal,85691,85691
5SZG_1,A,non_metal,8650,8650
3KDQ_1,A,non_metal,111759,111759
1Z85_1,A,non_metal,193258,193258
2Q82_1,A,non_metal,136625,136625
5V89_1,A,non_metal,9066,9066
2GRE_1,A,non_metal,40636,40636
1Q5O_1,A,non_metal,11204,11204
1YOX_1,A,non_metal,22112,22112
2YUT_1,A,non_metal,107423,107423
3P86_1,A,non_metal,12063,12063
4EQ5_1,A,non_metal,1875,1875
3R2P_1,A,non_metal,2519,2519
1W53_1,A,non_metal,35204,35204
6FTF_1,A,non_metal,25484,25484
6EJS_1,A,non_metal,25660,25660
8KG1_1,A,non_metal,15520,15520
6EUA_1,A,non_metal,10279,10279
3EUA_1,A,non_metal,13607,13607
6XKB_1,A,non_metal,36911,36911
1WN0_1,A,non_metal,8526,8526
3QF2_1,A,non_metal,51006,51006
3K9E_1,A,non_metal,37782,37782
4P98_1,A,non_metal,233404,233404
3FV6_1,A,non_metal,40700,40700
3ML4_1,A,non_metal,30177,30177
2QAC_1,A,non_metal,9718,9718
2R78_1,A,non_metal,268198,268198
3G3O_1,A,non_metal,16315,16315
4JLE_1,A,non_metal,93744,93744
4J6F_1,A,non_metal,106748,106748
1YZ4_1,A,non_metal,11415,11415
2O30_1,A,non_metal,168509,168509
5F0J_1,A,non_metal,3520,3520
7R0O_1,A,non_metal,19349,19349
9KAJ_1,A,non_metal,2328,2328
3LMO_1,A,non_metal,16337,16337
2G15_1,A,non_metal,1158,1158
7VYW_1,A,non_metal,44901,44901
5KYG_1,A,non_metal,11107,11107
3GNA_1,A,non_metal,88505,88505
5NB8_1,A,non_metal,6591,6591
4W9R_1,A,non_metal,133113,133113
6SMP_1,A,non_metal,39961,39961
8KEL_1,A,non_metal,73659,73659
4KMO_1,A,non_metal,7230,7230
2AU1_1,A,non_metal,30109,30109
8ILZ_1,A,non_metal,16515,16515
4CRH_1,A,non_metal,36467,36467
6C3B_1,A,non_metal,13016,13016
3QZ4_1,A,non_metal,53569,53569
3TX3_1,A,non_metal,3886,3886
3K1Z_1,A,non_metal,17397,17397
3PF0_1,A,non_metal,254902,254902
3BNW_1,A,non_metal,24010,24010
8AK2_1,A,non_metal,53153,53153
2DX1_1,A,non_metal,25803,25803
9U7B_1,A,non_metal,54762,54762
4QMD_1,A,non_metal,26047,26047
1WCW_1,A,non_metal,26566,26566
6FF3_1,A,non_metal,47683,47683
5HOD_1,A,non_metal,93668,93668
2X5G_1,A,non_metal,62285,62285
4Y1L_2,A,non_metal,21937,21937
22ZT_1,A,non_metal,213440,213440
1BYD_1,A,non_metal,3975,3975
3OA7_1,A,non_metal,240022,240022
5U78_1,A,non_metal,6148,6148
4AVM_1,A,non_metal,31626,31626
4GGR_1,A,non_metal,67736,67736
2XQW_1,A,non_metal,8500,8500
7VRB_1,A,non_metal,89917,89917
3EAU_1,A,non_metal,5327,5327
3TDU_2,A,non_metal,1447,1447
3OY7_1,A,non_metal,78916,78916
4ZBO_1,A,non_metal,28576,28576
3BVP_1,A,non_metal,91698,91698
8K2I_1,A,non_metal,26418,26418
4B21_1,A,non_metal,16803,16803
5KZW_1,A,non_metal,8036,8036
2PV1_1,A,non_metal,2618,2618
4BHX_1,A,non_metal,8530,8530
1EO8_1,A,non_metal,109,109
5JEQ_1,A,non_metal,21320,21320
5IVA_2,A,non_metal,38248,38248
5C00_1,A,non_metal,87454,87454
6AF4_1,A,non_metal,59325,59325
5MPO_1,A,non_metal,16862,16862
1JL9_1,A,non_metal,7876,7876
2A0Z_1,A,non_metal,6913,6913
2GAX_1,A,non_metal,78639,78639
2Q87_1,A,non_metal,50139,50139
1PRY_1,A,non_metal,8335,8335
3GGY_1,A,non_metal,36852,36852
3N77_1,A,non_metal,4782,4782
3R4R_1,A,non_metal,85854,85854
7WJ7_1,A,non_metal,64507,64507
2A61_1,A,non_metal,43177,43177
7ZAL_1,A,non_metal,80899,80899
3CP3_1,A,non_metal,32393,32393
3D3R_1,A,non_metal,16531,16531
2OHW_1,A,non_metal,94294,94294
4UYI_1,A,non_metal,20347,20347
3MQ1_1,A,non_metal,15077,15077
8HL7_1,A,non_metal,18156,18156
4YXC_2,A,non_metal,9460,9460
1E94_2,A,non_metal,351,351
3OFH_1,A,non_metal,17298,17298
1IW2_1,A,non_metal,11257,11257
1KT0_1,A,non_metal,3233,3233
7CGK_1,A,non_metal,21404,21404
1Q5X_1,A,non_metal,958,958
1ICM_1,A,non_metal,8501,8501
3Q7K_1,A,non_metal,12580,12580
3CZP_1,A,non_metal,45137,45137
5DBO_1,A,non_metal,66981,66981
4TR4_1,A,non_metal,57825,57825
3TWK_1,A,non_metal,41495,41495
3EDM_1,A,non_metal,11283,11283
1HN9_1,A,non_metal,293,293
3QO4_1,A,non_metal,17430,17430
4QNI_1,A,non_metal,50757,50757
1AM5_1,A,non_metal,4092,4092
1V0E_1,A,non_metal,27725,27725
6M75_1,A,non_metal,11003,11003
1XVI_1,A,non_metal,4882,4882
2AVD_1,A,non_metal,21188,21188
6VCI_1,A,non_metal,10106,10106
10LG_1,A,non_metal,16940,16940
1KCG_2,A,non_metal,23736,23736
1MNM_3,A,non_metal,74098,74098
1A33_1,A,non_metal,28645,28645
1L2P_1,A,non_metal,515,515
8S8U_1,A,non_metal,1280,1280
1SWX_1,A,non_metal,4066,4066
3BPQ_2,A,non_metal,67928,67928
2WVO_1,A,non_metal,19027,19027
2PWQ_1,A,non_metal,14205,14205
4LH9_1,A,non_metal,13853,13853
2A8E_1,A,non_metal,3562,3562
6LKZ_1,A,non_metal,29236,29236
1ZRS_1,A,non_metal,42023,42023
5FMT_1,A,non_metal,59673,59673
2ZGI_1,A,non_metal,262833,262833
3REA_2,A,non_metal,22758,22758
1XM2_1,A,non_metal,3309,3309
4FD9_1,A,non_metal,41242,41242
9X5B_1,A,non_metal,16255,16255
1MJC_1,A,non_metal,2850,2850
2Q9Q_4,A,non_metal,11058,11058
3GV6_1,A,non_metal,21085,21085
3VMN_1,A,non_metal,46845,46845
3RD5_1,A,non_metal,5325,5325
3BII_1,A,non_metal,13166,13166
3FME_1,A,non_metal,7863,7863
4K2B_1,A,non_metal,23294,23294
5Y6F_1,A,non_metal,16091,16091
4GFX_1,A,non_metal,5795,5795
1LU4_1,A,non_metal,43812,43812
1VR8_1,A,non_metal,266403,266403
5WWL_2,A,non_metal,86003,86003
3MKR_2,A,non_metal,5158,5158
3BF0_1,A,non_metal,22128,22128
3GEK_1,A,non_metal,111772,111772
4AZF_1,A,non_metal,5321,5321
6BK6_1,A,non_metal,36435,36435
8DS8_1,A,non_metal,31452,31452
2Q2B_1,A,non_metal,14683,14683
6EWJ_1,A,non_metal,13633,13633
3NU7_1,A,non_metal,19085,19085
3LKK_1,A,non_metal,58384,58384
6CBU_1,A,non_metal,9263,9263
1U4C_1,A,non_metal,35924,35924
3AQO_1,A,non_metal,13008,13008
3K33_1,A,non_metal,32935,32935
5KO7_1,A,non_metal,10795,10795
5DM3_1,A,non_metal,15756,15756
5TGN_1,A,non_metal,151579,151579
9P4B_1,A,non_metal,4240,4240
2C5Q_1,A,non_metal,64153,64153
3NME_1,A,non_metal,25420,25420
5XNS_1,A,non_metal,20235,20235
3I71_1,A,non_metal,39058,39058
1O89_1,A,non_metal,11063,11063
4GMN_2,A,non_metal,27572,27572
5WBI_1,A,non_metal,3932,3932
4ZOZ_1,A,non_metal,23661,23661
5LTX_1,A,non_metal,10707,10707
8HKR_1,A,non_metal,45142,45142
3HFA_1,A,non_metal,2080,2080
4N3S_1,A,non_metal,27637,27637
1QWO_1,A,non_metal,7445,7445
2V2Z_1,A,non_metal,881,881
8US1_1,A,non_metal,4877,4877
6ZZK_1,A,non_metal,1950,1950
3DI3_2,A,non_metal,10437,10437
1EUV_2,A,non_metal,2194,2194
4PS6_1,A,non_metal,39367,39367
3HHC_1,A,non_metal,18082,18082
8RKZ_1,A,non_metal,42469,42469
1P3Q_1,A,non_metal,22565,22565
2YT4_1,A,non_metal,10869,10869
3UJ8_1,A,non_metal,10525,10525
4F7U_2,A,non_metal,1263,1263
2O0J_1,A,non_metal,29503,29503
1G6R_1,A,non_metal,830,830
1QWD_1,A,non_metal,8466,8466
1SZ7_1,A,non_metal,3320,3320
6AHY_2,A,non_metal,5387,5387
2AU5_1,A,non_metal,225649,225649
1MAI_1,A,non_metal,131593,131593
4M55_1,A,non_metal,12134,12134
6JBZ_1,A,non_metal,10903,10903
1R75_1,A,non_metal,36441,36441
2JAD_1,A,non_metal,86332,86332
3TR0_1,A,non_metal,2905,2905
6JV0_1,A,non_metal,8915,8915
3F75_2,A,non_metal,31224,31224
6ELD_1,A,non_metal,94426,94426
